"ID","EMPLOYEE_ID","CUSTOMER_ID","ORDER_DATE","SHIPPED_DATE","SHIP_NAME","SHIP_ADDRESS1","SHIP_ADDRESS2","SHIP_CITY","SHIP_STATE","SHIP_POSTAL_CODE","SHIP_COUNTRY","SHIPPING_FEE","PAYMENT_TYPE","PAID_DATE","ORDER_STATUS","CHANGE_DATE"
4016,208,17,2016-04-17 00:00:00.000,2016-03-22 00:00:00.000,Sharon Little,"27501 Sommers Junction",,San Juan Opico,,,El Salvador,6.8700,Card,2017-01-08 00:00:00.000,Complete,2017-01-08 00:00:00.000
4017,205,73,2016-07-03 00:00:00.000,2016-09-26 00:00:00.000,Nancy Hughes,"1 John Wall Avenue",,La Libertad,,,Ecuador,4.6700,Checque,2017-02-01 00:00:00.000,New,2017-02-01 00:00:00.000
4018,213,16,2016-12-01 00:00:00.000,2016-06-08 00:00:00.000,Sara Knight,"98248 Tony Pass",,Val-d'Or,Québec,J9P,Canada,9.5200,Card,2016-08-06 00:00:00.000,New,2016-12-01 00:00:00.000
4019,209,10,2016-04-18 00:00:00.000,2016-04-25 00:00:00.000,Russell Wood,"3 Commercial Point",,Rokietnica,,"62-090",Poland,6.8000,Card,2017-01-20 00:00:00.000,On Hold,2017-01-20 00:00:00.000
4020,216,1,2016-07-23 00:00:00.000,2017-02-23 00:00:00.000,Aaron Grant,"15477 Farwell Circle",,Yongyang,,,China,3.1700,Cash,2016-08-11 00:00:00.000,Complete,2017-02-23 00:00:00.000
4021,209,38,2016-12-16 00:00:00.000,2017-02-14 00:00:00.000,Ryan Foster,"9218 Leroy Avenue",,Mogapinyana,,,Botswana,3.3400,Cash,2016-06-21 00:00:00.000,On Hold,2017-02-14 00:00:00.000
4022,207,91,2016-07-18 00:00:00.000,2016-04-06 00:00:00.000,Peter Montgomery,"570 Londonderry Pass",,Mathakola,,,Botswana,8.1100,Card,2016-10-27 00:00:00.000,New,2016-10-27 00:00:00.000
4023,209,39,2016-07-15 00:00:00.000,2017-02-02 00:00:00.000,Lawrence Schmidt,"371 Acker Drive",,Mesa,Arizona,"85205",United States,1.3900,Cash,2016-10-27 00:00:00.000,Complete,2017-02-02 00:00:00.000
4024,219,51,2016-12-08 00:00:00.000,2017-01-03 00:00:00.000,Eric Gray,"4608 Farmco Point",,Gemblengmulyo,,,Indonesia,8.7600,Card,2016-05-13 00:00:00.000,Complete,2017-01-03 00:00:00.000
4025,204,77,2016-09-24 00:00:00.000,2017-01-20 00:00:00.000,Gloria Green,"62 Sunnyside Park",,Itararé,,"18460-000",Brazil,7.7500,Cash,2017-02-06 00:00:00.000,On Hold,2017-02-06 00:00:00.000
4026,215,73,2016-09-15 00:00:00.000,2016-12-24 00:00:00.000,Nicholas Price,"5672 Ruskin Hill",,Maimará,,"4624",Argentina,9.1100,Card,2016-07-22 00:00:00.000,On Hold,2016-12-24 00:00:00.000
4027,208,98,2016-05-31 00:00:00.000,2016-07-14 00:00:00.000,Doris Watson,"133 Gina Street",,Bantiran,,,Indonesia,3.0000,Cash,2016-10-08 00:00:00.000,Complete,2016-10-08 00:00:00.000
4028,217,39,2016-05-10 00:00:00.000,2016-04-07 00:00:00.000,Linda Foster,"40382 4th Terrace",,Agrelo,Braga,"4730-300",Portugal,2.3900,Cash,2016-09-11 00:00:00.000,Complete,2016-09-11 00:00:00.000
4029,212,52,2016-09-14 00:00:00.000,2016-12-21 00:00:00.000,Anthony Spencer,"02 Esker Junction",,El Ocotón,,,Honduras,7.7200,Checque,2016-09-23 00:00:00.000,Shipped,2016-12-21 00:00:00.000
4030,218,74,2016-05-08 00:00:00.000,2016-07-21 00:00:00.000,James Kennedy,"7460 Westport Hill",,Köln,Nordrhein-Westfalen,"51107",Germany,6.1600,Cash,2016-11-27 00:00:00.000,Shipped,2016-11-27 00:00:00.000
4031,214,4,2016-05-31 00:00:00.000,2017-03-03 00:00:00.000,Theresa Robinson,"44 Havey Way",,Qingtong,,,China,5.0200,Checque,2017-03-15 00:00:00.000,New,2017-03-15 00:00:00.000
4032,201,81,2016-07-05 00:00:00.000,2016-11-18 00:00:00.000,Jesse Ray,"68 Derek Hill",,Azogues,,,Ecuador,5.4100,Checque,2016-10-16 00:00:00.000,New,2016-11-18 00:00:00.000
4033,203,15,2016-09-07 00:00:00.000,2016-06-09 00:00:00.000,Harold Fields,"2 Vermont Terrace",,Mogocha,,"673732",Russia,2.3800,Checque,2016-03-30 00:00:00.000,Complete,2016-09-07 00:00:00.000
4034,217,11,2016-08-19 00:00:00.000,2016-12-08 00:00:00.000,Larry Watkins,"629 Waxwing Avenue",,Krasnyy Oktyabr’,,"398526",Russia,5.2300,Cash,2016-07-01 00:00:00.000,On Hold,2016-12-08 00:00:00.000
4035,205,51,2016-11-29 00:00:00.000,2016-09-02 00:00:00.000,Debra Marshall,"23578 Arizona Junction",,Juhut,,,Indonesia,1.5900,Card,2016-06-17 00:00:00.000,Shipped,2016-11-29 00:00:00.000
4036,217,56,2016-10-21 00:00:00.000,2017-02-13 00:00:00.000,Todd Stephens,"63633 Columbus Avenue",,Paccho,,,Peru,5.0900,Cash,2016-04-25 00:00:00.000,New,2017-02-13 00:00:00.000
4037,219,60,2016-09-22 00:00:00.000,2016-11-08 00:00:00.000,Jean Webb,"0916 Grover Way",,Kuršėnai,,"81001",Lithuania,8.6600,Cash,2016-09-30 00:00:00.000,Shipped,2016-11-08 00:00:00.000
4038,213,3,2016-06-01 00:00:00.000,2016-10-07 00:00:00.000,Heather Snyder,"44 Grayhawk Court",,Haenam,,,South Korea,5.3300,Cash,2016-06-30 00:00:00.000,Complete,2016-10-07 00:00:00.000
4039,201,28,2017-02-19 00:00:00.000,2016-11-25 00:00:00.000,Janet Howard,"5351 Barby Trail",,Shanghu,,,China,9.1800,Checque,2017-03-16 00:00:00.000,On Hold,2017-03-16 00:00:00.000
4040,215,74,2016-09-14 00:00:00.000,2016-06-23 00:00:00.000,Aaron Wheeler,"08 Burrows Avenue",,Tân Sơn,,,Vietnam,3.3600,Card,2017-03-05 00:00:00.000,New,2017-03-05 00:00:00.000
4041,204,79,2016-09-27 00:00:00.000,2017-02-15 00:00:00.000,Lori Watkins,"3 Pennsylvania Court",,Victoria,,VCT,Malta,9.4100,Card,2016-08-12 00:00:00.000,New,2017-02-15 00:00:00.000
4042,205,92,2016-11-03 00:00:00.000,2016-05-11 00:00:00.000,Alice Miller,"7895 Amoth Avenue",,Mae Lao,,"57250",Thailand,2.1100,Cash,2016-08-06 00:00:00.000,Shipped,2016-11-03 00:00:00.000
4043,212,82,2016-11-17 00:00:00.000,2016-04-19 00:00:00.000,Marilyn Nguyen,"25203 Meadow Ridge Plaza",,Nine,Braga,"4775-446",Portugal,6.0300,Cash,2016-05-07 00:00:00.000,On Hold,2016-11-17 00:00:00.000
4044,218,55,2016-06-26 00:00:00.000,2016-08-15 00:00:00.000,Ashley West,"08621 Porter Lane",,Kingsport,Tennessee,"37665",United States,8.2300,Cash,2016-12-17 00:00:00.000,New,2016-12-17 00:00:00.000
4045,217,53,2016-05-07 00:00:00.000,2017-02-25 00:00:00.000,Julia Fernandez,"91519 Harbort Way",,Issoire,Auvergne,"63504 CEDEX",France,1.1400,Checque,2016-10-27 00:00:00.000,Complete,2017-02-25 00:00:00.000
4046,211,78,2016-12-11 00:00:00.000,2017-02-15 00:00:00.000,Willie Sims,"683 Caliangt Parkway",,Balazar,Braga,"4805-005",Portugal,6.5700,Card,2017-02-13 00:00:00.000,On Hold,2017-02-15 00:00:00.000
4047,201,77,2016-05-20 00:00:00.000,2017-02-19 00:00:00.000,Samuel Burke,"25 Grover Lane",,Housuo,,,China,6.9900,Cash,2016-08-12 00:00:00.000,New,2017-02-19 00:00:00.000
4048,217,72,2016-11-06 00:00:00.000,2016-09-29 00:00:00.000,Patricia Green,"29791 Thierer Street",,Campamento,,"052027",Colombia,3.3300,Checque,2016-03-24 00:00:00.000,Complete,2016-11-06 00:00:00.000
4049,210,98,2016-08-24 00:00:00.000,2016-04-16 00:00:00.000,Nicole Washington,"68 Monica Point",,Cikaung,,,Indonesia,5.7800,Checque,2016-04-30 00:00:00.000,Complete,2016-08-24 00:00:00.000
4050,215,26,2016-10-07 00:00:00.000,2016-11-03 00:00:00.000,Marie Bryant,"36611 Schlimgen Place",,Villa Francisca,,"10215",Dominican Republic,4.1100,Checque,2016-07-29 00:00:00.000,Complete,2016-11-03 00:00:00.000
4051,212,51,2016-05-19 00:00:00.000,2017-03-16 00:00:00.000,Brandon Lane,"5 Duke Center",,Soutinho,Porto,"4650-530",Portugal,9.6200,Checque,2016-11-28 00:00:00.000,Shipped,2017-03-16 00:00:00.000
4052,205,9,2016-07-19 00:00:00.000,2016-09-05 00:00:00.000,Pamela Ferguson,"0 Mockingbird Crossing",,Jefferson City,Missouri,"65105",United States,9.9800,Card,2016-12-08 00:00:00.000,Shipped,2016-12-08 00:00:00.000
4053,210,42,2016-04-09 00:00:00.000,2017-02-05 00:00:00.000,Gloria Edwards,"8275 Sage Plaza",,Yilkiqi,,,China,5.2100,Cash,2016-11-10 00:00:00.000,On Hold,2017-02-05 00:00:00.000
4054,211,70,2017-02-28 00:00:00.000,2017-02-11 00:00:00.000,John Cole,"4679 Trailsway Circle",,Sanlanbahai,,,China,4.4200,Card,2017-01-06 00:00:00.000,Complete,2017-02-28 00:00:00.000
4055,208,65,2017-01-11 00:00:00.000,2017-02-14 00:00:00.000,Bobby Butler,"314 Jenna Crossing",,Malusac,,"2005",Philippines,7.3700,Cash,2017-03-15 00:00:00.000,Shipped,2017-03-15 00:00:00.000
4056,220,15,2016-07-12 00:00:00.000,2016-09-06 00:00:00.000,Anthony Lane,"1 Packers Avenue",,Batambak,,,Indonesia,5.4100,Card,2016-11-21 00:00:00.000,On Hold,2016-11-21 00:00:00.000
4057,220,76,2016-05-05 00:00:00.000,2016-04-19 00:00:00.000,Karen Ray,"891 Raven Street",,Chinju,,,South Korea,4.7100,Cash,2017-02-11 00:00:00.000,On Hold,2017-02-11 00:00:00.000
4058,216,90,2017-01-26 00:00:00.000,2016-12-19 00:00:00.000,Martha Gonzalez,"8695 Mandrake Place",,Maythalūn,,,Palestinian Territory,1.7500,Card,2017-03-16 00:00:00.000,On Hold,2017-03-16 00:00:00.000
4059,212,43,2016-09-20 00:00:00.000,2017-02-11 00:00:00.000,Judy Daniels,"154 Lukken Court",,Luoqiao,,,China,4.6300,Checque,2016-11-09 00:00:00.000,On Hold,2017-02-11 00:00:00.000
4060,207,80,2016-04-29 00:00:00.000,2016-07-01 00:00:00.000,Jane Stevens,"43 Kingsford Pass",,Dobruševo,,"7514",Macedonia,1.9600,Cash,2016-09-02 00:00:00.000,On Hold,2016-09-02 00:00:00.000
4061,214,89,2016-10-09 00:00:00.000,2016-09-09 00:00:00.000,Emily Miller,"5 Pearson Lane",,East London,,"5688",South Africa,2.1400,Card,2016-06-10 00:00:00.000,Complete,2016-10-09 00:00:00.000
4062,220,8,2016-12-01 00:00:00.000,2017-03-09 00:00:00.000,Sarah Johnson,"30 Chinook Lane",,Selishche,,"180536",Russia,3.7600,Card,2016-11-18 00:00:00.000,On Hold,2017-03-09 00:00:00.000
4063,220,48,2017-03-05 00:00:00.000,2016-11-30 00:00:00.000,Carolyn Reyes,"72 Michigan Pass",,Sukasenang,,,Indonesia,6.5200,Cash,2016-05-20 00:00:00.000,Shipped,2017-03-05 00:00:00.000
4064,214,31,2016-07-19 00:00:00.000,2016-08-16 00:00:00.000,Kathryn Coleman,"43358 Packers Court",,Przystajń,,"42-141",Poland,1.6800,Card,2016-12-13 00:00:00.000,Complete,2016-12-13 00:00:00.000
4065,205,41,2016-12-09 00:00:00.000,2016-03-20 00:00:00.000,Clarence Graham,"1675 Starling Point",,Zangbawa,,,China,5.8200,Cash,2016-07-08 00:00:00.000,Complete,2016-12-09 00:00:00.000
4066,205,41,2016-05-25 00:00:00.000,2016-11-15 00:00:00.000,David Harris,"00 Warner Court",,Kabba,,,Nigeria,7.2400,Cash,2016-09-24 00:00:00.000,New,2016-11-15 00:00:00.000
4067,218,13,2016-07-24 00:00:00.000,2016-12-06 00:00:00.000,Ruth Fields,"88567 Golf Course Plaza",,Mauá,,"09300-000",Brazil,6.8200,Cash,2017-01-26 00:00:00.000,New,2017-01-26 00:00:00.000
4068,206,11,2016-05-04 00:00:00.000,2016-07-10 00:00:00.000,Todd Butler,"88 Graedel Point",,Jablah,,,Syria,3.8300,Cash,2016-06-17 00:00:00.000,On Hold,2016-07-10 00:00:00.000
4069,215,55,2016-12-22 00:00:00.000,2016-03-28 00:00:00.000,Catherine Perkins,"95 Troy Parkway",,Frampol,,"23-440",Poland,7.6000,Checque,2016-08-24 00:00:00.000,Shipped,2016-12-22 00:00:00.000
4070,220,40,2016-10-17 00:00:00.000,2016-12-01 00:00:00.000,Jeffrey Rodriguez,"3393 Weeping Birch Court",,Burunday,,,Kazakhstan,2.5200,Cash,2016-09-06 00:00:00.000,Shipped,2016-12-01 00:00:00.000
4071,218,70,2017-03-16 00:00:00.000,2016-12-09 00:00:00.000,Rachel Butler,"79327 Ridgeway Circle",,Dupnitsa,,"2680",Bulgaria,6.2500,Checque,2016-04-02 00:00:00.000,Complete,2017-03-16 00:00:00.000
4072,205,45,2017-01-22 00:00:00.000,2016-05-15 00:00:00.000,Robin Fisher,"0 Susan Court",,Morohongō,,"357-0211",Japan,4.4200,Card,2017-03-06 00:00:00.000,Complete,2017-03-06 00:00:00.000
4073,217,94,2017-01-25 00:00:00.000,2016-04-11 00:00:00.000,Ruth Carpenter,"4 Glacier Hill Road",,Ngrejo,,,Indonesia,4.9000,Cash,2016-08-13 00:00:00.000,On Hold,2017-01-25 00:00:00.000
4074,219,27,2017-01-06 00:00:00.000,2017-01-03 00:00:00.000,Irene Kelly,"0 Comanche Junction",,Chao,,,Peru,5.3200,Checque,2016-11-20 00:00:00.000,On Hold,2017-01-06 00:00:00.000
4075,214,44,2016-06-24 00:00:00.000,2016-12-20 00:00:00.000,Douglas Sims,"81709 Helena Park",,Dongmaku,,,China,3.3500,Card,2017-02-27 00:00:00.000,Complete,2017-02-27 00:00:00.000
4076,216,27,2016-09-23 00:00:00.000,2016-10-05 00:00:00.000,Kenneth Rose,"5316 Dottie Way",,Olszówka,,"62-641",Poland,2.6300,Cash,2016-05-27 00:00:00.000,Shipped,2016-10-05 00:00:00.000
4077,211,84,2016-11-24 00:00:00.000,2016-08-04 00:00:00.000,Jimmy Morgan,"42187 Shoshone Center",,Saltsjöbaden,Stockholm,"133 41",Sweden,1.1100,Cash,2016-09-09 00:00:00.000,On Hold,2016-11-24 00:00:00.000
4078,202,57,2016-05-28 00:00:00.000,2016-06-02 00:00:00.000,Annie Vasquez,"5 Lien Junction",,Al Qaţn,,,Yemen,2.7300,Checque,2016-11-14 00:00:00.000,On Hold,2016-11-14 00:00:00.000
4079,202,64,2016-07-05 00:00:00.000,2016-05-20 00:00:00.000,Henry Mccoy,"58 Nelson Circle",,Tsaghkahovit,,,Armenia,3.2900,Card,2016-08-18 00:00:00.000,Shipped,2016-08-18 00:00:00.000
4080,216,44,2017-02-20 00:00:00.000,2016-10-08 00:00:00.000,Norma Graham,"27 Heffernan Pass",,Cairima,,,China,7.0200,Checque,2017-03-06 00:00:00.000,Complete,2017-03-06 00:00:00.000
4081,218,60,2017-03-16 00:00:00.000,2016-08-06 00:00:00.000,Albert Wright,"572 Vahlen Place",,Drahovo,,,Ukraine,4.9200,Checque,2017-01-29 00:00:00.000,New,2017-03-16 00:00:00.000
4082,219,15,2016-12-26 00:00:00.000,2017-02-17 00:00:00.000,Jane Wells,"21 Merchant Way",,Acacías,,"507009",Colombia,6.5300,Card,2016-06-04 00:00:00.000,Complete,2017-02-17 00:00:00.000
4083,212,61,2016-06-24 00:00:00.000,2016-03-23 00:00:00.000,Jesse Mitchell,"4060 Carioca Drive",,Ntoroko,,,Uganda,9.4100,Cash,2016-10-19 00:00:00.000,On Hold,2016-10-19 00:00:00.000
4084,216,3,2016-08-20 00:00:00.000,2017-02-15 00:00:00.000,Carlos Brooks,"868 Pankratz Trail",,Bat Khela,,"18351",Pakistan,1.0000,Checque,2016-12-22 00:00:00.000,On Hold,2017-02-15 00:00:00.000
4085,209,25,2016-12-03 00:00:00.000,2016-06-01 00:00:00.000,Christopher Williamson,"8874 Starling Plaza",,Tarbes,Midi-Pyrénées,"65951 CEDEX 9",France,4.1500,Card,2017-02-04 00:00:00.000,New,2017-02-04 00:00:00.000
4086,205,2,2016-06-19 00:00:00.000,2016-08-26 00:00:00.000,Joseph Wells,"7223 Carpenter Road",,Chitral,,"17200",Pakistan,5.3100,Card,2016-07-22 00:00:00.000,Shipped,2016-08-26 00:00:00.000
4087,216,96,2016-06-04 00:00:00.000,2016-12-31 00:00:00.000,Teresa Thomas,"908 Ramsey Junction",,Dzerzhinskiy,,"140083",Russia,4.2900,Cash,2017-03-03 00:00:00.000,Shipped,2017-03-03 00:00:00.000
4088,203,35,2016-09-21 00:00:00.000,2017-01-08 00:00:00.000,Scott Gomez,"70537 Tennessee Crossing",,Bồng Sơn,,,Vietnam,6.9300,Cash,2017-01-01 00:00:00.000,New,2017-01-08 00:00:00.000
4089,210,18,2017-02-17 00:00:00.000,2016-10-28 00:00:00.000,Nicole Miller,"0 Jackson Place",,Šilheřovice,,"747 15",Czech Republic,5.6400,Card,2016-11-17 00:00:00.000,On Hold,2017-02-17 00:00:00.000
4090,201,8,2016-11-12 00:00:00.000,2016-06-02 00:00:00.000,Donald Nguyen,"7320 Bunting Pass",,Namioka,,"953-0062",Japan,7.0700,Cash,2016-09-29 00:00:00.000,Complete,2016-11-12 00:00:00.000
4091,212,67,2016-04-08 00:00:00.000,2016-11-21 00:00:00.000,Shawn Myers,"1844 Esch Plaza",,Gračec,,"10370",Croatia,4.8400,Card,2016-03-17 00:00:00.000,New,2016-11-21 00:00:00.000
4092,220,16,2017-01-12 00:00:00.000,2016-08-04 00:00:00.000,Daniel Armstrong,"2 Donald Alley",,La Colorada,,,Panama,2.9800,Checque,2016-12-08 00:00:00.000,Shipped,2017-01-12 00:00:00.000
4093,203,60,2016-04-17 00:00:00.000,2016-05-10 00:00:00.000,Henry Gonzales,"23848 6th Center",,Guayatá,,"153047",Colombia,1.5400,Checque,2016-04-18 00:00:00.000,New,2016-05-10 00:00:00.000
4094,209,37,2016-08-07 00:00:00.000,2016-04-26 00:00:00.000,Stephanie Snyder,"1152 Morning Park",,Zhitan,,,China,9.7600,Card,2016-05-23 00:00:00.000,New,2016-08-07 00:00:00.000
4095,205,46,2016-09-01 00:00:00.000,2017-02-25 00:00:00.000,Joan Butler,"98050 Mitchell Point",,Bun Barat,,,Indonesia,9.5700,Card,2017-01-25 00:00:00.000,Shipped,2017-02-25 00:00:00.000
4096,211,92,2017-01-02 00:00:00.000,2016-12-06 00:00:00.000,Gloria Murray,"8 Vidon Terrace",,Rumenka,,,Serbia,5.3300,Card,2016-12-28 00:00:00.000,Shipped,2017-01-02 00:00:00.000
4097,210,66,2016-07-04 00:00:00.000,2016-05-30 00:00:00.000,Dorothy Simpson,"0 Pearson Point",,Yevpatoriya,,,Ukraine,3.5200,Checque,2016-04-28 00:00:00.000,Complete,2016-07-04 00:00:00.000
4098,219,59,2016-09-27 00:00:00.000,2016-12-17 00:00:00.000,Katherine Brooks,"921 Anhalt Place",,Rietavas,,"90018",Lithuania,5.2900,Checque,2016-12-19 00:00:00.000,Complete,2016-12-19 00:00:00.000
4099,207,65,2016-07-06 00:00:00.000,2016-10-11 00:00:00.000,Linda Reid,"89712 Dryden Point",,Bronnitsy,,"142451",Russia,5.6800,Card,2016-07-08 00:00:00.000,New,2016-10-11 00:00:00.000
4100,212,61,2016-04-14 00:00:00.000,2016-05-02 00:00:00.000,Richard Carpenter,"17032 Melrose Crossing",,White River,,"1256",South Africa,7.2200,Card,2016-08-03 00:00:00.000,Shipped,2016-08-03 00:00:00.000
4101,206,23,2016-03-28 00:00:00.000,2016-12-01 00:00:00.000,Clarence Coleman,"9167 Valley Edge Point",,Guocun,,,China,5.8600,Checque,2016-08-19 00:00:00.000,Shipped,2016-12-01 00:00:00.000
4102,202,16,2016-07-26 00:00:00.000,2017-01-18 00:00:00.000,Kevin Dunn,"178 Park Meadow Avenue",,Mlonggo,,,Indonesia,4.1500,Checque,2016-08-03 00:00:00.000,Complete,2017-01-18 00:00:00.000
4103,211,65,2017-01-17 00:00:00.000,2016-11-09 00:00:00.000,Keith Lopez,"689 Anthes Pass",,Cibanten,,,Indonesia,8.2500,Checque,2016-10-15 00:00:00.000,Shipped,2017-01-17 00:00:00.000
4104,218,86,2017-03-12 00:00:00.000,2016-05-25 00:00:00.000,Chris Wright,"57974 Riverside Junction",,Ban Mai,,"80000",Thailand,4.8500,Cash,2016-05-08 00:00:00.000,New,2017-03-12 00:00:00.000
4105,215,57,2016-07-03 00:00:00.000,2016-05-03 00:00:00.000,Michael Snyder,"93 Ohio Hill",,Bryan,Texas,"77806",United States,3.5400,Card,2016-08-10 00:00:00.000,Shipped,2016-08-10 00:00:00.000
4106,210,2,2017-03-07 00:00:00.000,2016-09-18 00:00:00.000,David Day,"5024 Summerview Circle",,Itapira,,"13970-000",Brazil,3.6000,Cash,2017-01-20 00:00:00.000,On Hold,2017-03-07 00:00:00.000
4107,218,4,2016-10-10 00:00:00.000,2016-09-02 00:00:00.000,Lisa Kim,"4892 Huxley Center",,Tanjungagung,,,Indonesia,6.2300,Cash,2016-06-11 00:00:00.000,On Hold,2016-10-10 00:00:00.000
4108,214,26,2016-06-02 00:00:00.000,2016-10-05 00:00:00.000,Teresa Ellis,"1569 Mariners Cove Terrace",,Maszkienice,,"32-854",Poland,7.6500,Checque,2016-04-14 00:00:00.000,On Hold,2016-10-05 00:00:00.000
4109,201,51,2016-10-07 00:00:00.000,2017-02-02 00:00:00.000,Jimmy Lawson,"2165 Bluestem Center",,Kampungbaru,,,Indonesia,1.7300,Checque,2016-09-30 00:00:00.000,Shipped,2017-02-02 00:00:00.000
4110,215,4,2016-08-21 00:00:00.000,2017-02-05 00:00:00.000,Jerry Murray,"40070 Anderson Court",,Vicente Guerrero,Veracruz Llave,"92440",Mexico,1.5700,Card,2016-06-26 00:00:00.000,New,2017-02-05 00:00:00.000
4111,210,56,2016-07-06 00:00:00.000,2016-09-19 00:00:00.000,Joan Adams,"5322 Goodland Avenue",,Paris 17,Île-de-France,"75853 CEDEX 17",France,7.5200,Cash,2016-05-07 00:00:00.000,New,2016-09-19 00:00:00.000
4112,214,77,2016-09-04 00:00:00.000,2016-10-19 00:00:00.000,Chris Young,"7 Clove Center",,Gongjiahe,,,China,3.3100,Card,2016-11-06 00:00:00.000,New,2016-11-06 00:00:00.000
4113,217,62,2016-07-18 00:00:00.000,2016-09-30 00:00:00.000,Norma Oliver,"6002 Rieder Road",,Lingbei,,,China,8.8500,Checque,2016-09-25 00:00:00.000,Complete,2016-09-30 00:00:00.000
4114,213,72,2016-08-01 00:00:00.000,2016-09-12 00:00:00.000,Douglas Day,"88 Helena Drive",,Alcoutim,Faro,"8970-055",Portugal,5.5200,Card,2016-12-19 00:00:00.000,New,2016-12-19 00:00:00.000
4115,220,6,2016-11-13 00:00:00.000,2017-02-22 00:00:00.000,Janet James,"820 Westend Place",,Springfield,Massachusetts,"01129",United States,4.7200,Cash,2016-03-21 00:00:00.000,On Hold,2017-02-22 00:00:00.000
4116,201,72,2016-09-01 00:00:00.000,2016-09-07 00:00:00.000,Martha Lee,"2 Donald Hill",,Majiang,,,China,4.3900,Cash,2016-12-10 00:00:00.000,Shipped,2016-12-10 00:00:00.000
4117,202,40,2017-02-04 00:00:00.000,2016-12-09 00:00:00.000,Benjamin Cruz,"02989 Morningstar Avenue",,Gīvī,,,Iran,1.7700,Checque,2017-01-29 00:00:00.000,Complete,2017-02-04 00:00:00.000
